city,district,daily_temp
Биробиджан,Дальневосточный ФО,1.3
Калининград,Северо-Западный ФО,4.6
Оренбург,Приволжский ФО,1.7
Южно-Сахалинск,Дальневосточный ФО,-4.9
Благовещенск,Дальневосточный ФО,-9.1
Владивосток,Дальневосточный ФО,2.2
Архангельск,Северо-Западный ФО,1.6
Южно-Сахалинск,Дальневосточный ФО,0.6
Сыктывкар,Северо-Западный ФО,-2.2
Кызыл,Сибирский ФО,-4.3
Анадырь,Дальневосточный ФО,-3.8
Хабаровск,Дальневосточный ФО,-5.0
Астрахань,Южный ФО,7.0
Орел,Центральный  ФО,-1.6
Москва,Центральный  ФО,9.0
Волгоград,Южный ФО,5.7
Курск,Центральный  ФО,7.8
Йошкар-Ола,Приволжский ФО,0.8
Южно-Сахалинск,Дальневосточный ФО,4.7
Курган,Уральский ФО,-6.6
Москва,Центральный  ФО,9.9
Орел,Центральный  ФО,7.0
Смоленск,Центральный  ФО,5.0
Кемерово,Сибирский ФО,3.6
Великий Новгород,Северо-Западный ФО,2.9
Барнаул,Сибирский ФО,-1.3
Пермь,Приволжский ФО,-2.0
Иваново,Центральный  ФО,0.9
Вологда,Северо-Западный ФО,0.5
Томск,Сибирский ФО,2.6
Йошкар-Ола,Приволжский ФО,3.2
Ростов,Южный ФО,5.0
Саранск,Приволжский ФО,2.8
Ростов,Южный ФО,3.0
Астрахань,Южный ФО,7.0
Нальчик,Северо-Кавказский ФО,8.8
Ижевск,Приволжский ФО,-0.1
Тверь,Центральный  ФО,3.3
Краснодар,Южный ФО,11.5
Петропавловск-Камчатский,Дальневосточный ФО,-1.5
Элиста,Южный ФО,9.5
Ставрополь,Северо-Кавказский ФО,10.1
Владимир,Центральный  ФО,1.9
Москва,Центральный  ФО,-0.3
Смоленск,Центральный  ФО,9.3
Воронеж,Центральный  ФО,11.7
Ижевск,Приволжский ФО,0.6
Нижний Новгород,Приволжский ФО,2.5
Тамбов,Центральный  ФО,5.5
Нижний Новгород,Приволжский ФО,1.8
Саранск,Приволжский ФО,8.7
Псков,Северо-Западный ФО,-0.8
Астрахань,Южный ФО,11.0
Киров,Приволжский ФО,-6.1
Южно-Сахалинск,Дальневосточный ФО,0.4
Курск,Центральный  ФО,9.6
Элиста,Южный ФО,11.9
Нижний Новгород,Приволжский ФО,4.7
Пермь,Приволжский ФО,-7.3
Владивосток,Дальневосточный ФО,3.5
Салехард,Северо-Западный ФО,-6.7
Улан-Удэ,Сибирский ФО,-1.5
Оренбург,Приволжский ФО,-3.0
